(175.42143517309026, 40.34679483822238)
(176.3893026359336, 40.746579090478846)
(177.3500454906168, 41.163194069996266)
(178.30337108555932, 41.59651287181602)
(179.24898902854997, 42.04640350283344)
(180.18661127520284, 42.51272892200412)
(181.11595221669864, 42.99534708208799)
(182.0367287667839, 43.49411097291826)
(182.94866044800173, 44.00886866618214)
(183.85146947712786, 44.5394633616997)
(184.7448808497864, 45.085733435186704)
(185.62862242421852, 45.64751248748692)
(186.50242500417963, 46.22462939525895)
(187.3660224209392, 46.81690836310203)
(188.21915161435822, 47.42416897710501)
(189.06155271301995, 48.046226259802204)
(189.89296911338917, 48.682890726519304)
(190.71314755797624, 49.33396844309224)
(191.52183821248167, 49.9992610849414)
(192.31879474189816, 50.678565997483254)
(193.10377438554656, 51.37167625786087)
(193.87653803102313, 52.07838073797461)
(194.63685028703554, 52.79846416879385)
(195.3844795551053, 53.531707205929955)
(196.1191981001149, 54.27788649645072)
(196.84078211967812, 55.036774746915846)
(197.54901181231253, 55.80814079261275)
(198.24367144439293, 56.59174966797149)
(198.92454941586607, 57.38736267813767)
(199.59143832470605, 58.1947374716811)
(200.24413503009092, 59.01362811441846)
(200.88244071428142, 59.8437851643272)
(201.50616094318272, 60.68495574752801)
(202.115105725571, 61.53688363531263)
(202.70908957096657, 62.399309322193645)
(203.28793154613604, 63.2719701049523)
(203.85145533020642, 64.15460016266056)
(204.39948926837414, 65.04693063765257)
(204.93186642419266, 65.94868971742147)
(205.4484246304231, 66.85960271741602)
(205.9490065384318, 67.77939216471222)
(206.43345966612037, 68.7077778825342)
(206.90163644437305, 69.64447707559887)
(207.35339426200795, 70.589204416258)
(207.78859550921746, 71.54167213141184)
(208.20710761948584, 72.50159009016758)
(208.60880310997004, 73.46866589221608)
(208.99355962033238, 74.44260495689971)
(209.36125995001257, 75.42311061294468)
(209.71179209392818, 76.40988418882974)
(210.04504927659255, 77.40262510376459)
(210.36092998463948, 78.40103095924965)
(210.65933799774524, 79.40479763118958)
(210.94018241793836, 80.41361936253237)
(211.20337769728783, 81.42718885640599)
(211.44884366396192, 82.44519736972396)
(211.6765055466493, 83.4673348072314)
(211.88629399733512, 84.49328981596324)
(212.07814511242498, 85.52274988008513)
(212.25200045221078, 86.55540141608894)
(212.4078070586718, 87.59092986831331)
(212.54551747160642, 88.62901980476028)
(212.6650897430888, 89.66935501317899)
(212.7664874502467, 90.71161859738703)
(212.8496797063563, 91.75549307380001)
(212.91464117025052, 92.80066046814017)
(212.96135205403812, 93.84680241229442)
(212.98979812913134, 94.8936002412924)
(212.99997073058026, 95.94073509037482)
(212.99186675971185, 96.98788799212281)
(212.96548868507418, 98.03473997361851)
(212.9208445416843, 99.08097215360729)
(212.85794792858076, 100.12626583963203)
(212.77681800468122, 101.17030262510998)
(212.6774794829464, 102.21276448632247)
(212.55996262285237, 103.25333387928802)
(212.4243032211731, 104.29169383648934)
(212.2705426010765, 105.32752806342461)
(212.098727599537, 106.36052103495396)
(211.90891055306844, 107.39035809141146)
(211.70114928178197, 108.41672553445343)
(211.47550707177348, 109.43931072261408)
(211.23205265584596, 110.45780216653911)
(210.97086019257293, 111.47188962386832)
(210.6920092437089, 112.48126419373854)
(210.3955847499542, 113.48561841087778)
(210.08167700508113, 114.48464633926204)
(209.7503816284297, 115.4780436653066)
(209.40179953578092, 116.46550779056265)
(209.0360369086171, 117.44673792389187)
(208.6532051617776, 118.42143517309027)
(208.25342090952114, 119.38930263593362)
(207.83680593000372, 120.3500454906168)
(207.40348712818397, 121.30337108555935)
(206.95359649716656, 122.24898902854997)
(206.48727107799587, 123.18661127520285)
(206.004652917912, 124.11595221669866)
(205.50588902708174, 125.03672876678391)
(204.99113133381786, 125.94866044800173)
(204.4605366383003, 126.85146947712786)
(203.9142665648133, 127.7448808497864)
(203.35248751251308, 128.62862242421852)
(202.77537060474103, 129.50242500417966)
(202.18309163689798, 130.3660224209392)
(201.575831022895, 131.21915161435825)
(200.9537737401978, 132.06155271301995)
(200.3171092734807, 132.89296911338917)
(199.66603155690774, 133.71314755797624)
(199.0007389150586, 134.52183821248167)
(198.32143400251675, 135.3187947418982)
(197.62832374213912, 136.10377438554656)
(196.9216192620254, 136.87653803102313)
(196.20153583120614, 137.63685028703554)
(195.46829279407004, 138.3844795551053)
(194.72211350354928, 139.1191981001149)
(193.96322525308415, 139.84078211967812)
(193.19185920738727, 140.54901181231253)
(192.4082503320285, 141.2436714443929)
(191.61263732186234, 141.92454941586607)
(190.8052625283189, 142.59143832470605)
(189.98637188558152, 143.24413503009094)
(189.15621483567278, 143.88244071428142)
(188.31504425247198, 144.50616094318272)
(187.46311636468738, 145.115105725571)
(186.60069067780637, 145.70908957096657)
(185.72802989504768, 146.28793154613604)
(184.84539983733944, 146.85145533020642)
(183.95306936234743, 147.39948926837414)
(183.05131028257853, 147.93186642419266)
(182.14039728258396, 148.44842463042312)
(181.22060783528778, 148.9490065384318)
(180.29222211746577, 149.43345966612037)
(179.35552292440113, 149.90163644437308)
(178.41079558374201, 150.35339426200795)
(177.45832786858816, 150.78859550921746)
(176.49840990983245, 151.2071076194858)
(175.53133410778392, 151.60880310997004)
(174.55739504310029, 151.99355962033235)
(173.5768893870553, 152.36125995001257)
(172.59011581117028, 152.71179209392818)
(171.5973748962354, 153.04504927659255)
(170.59896904075035, 153.36092998463948)
(169.59520236881042, 153.65933799774524)
(168.58638063746764, 153.94018241793836)
(167.572811143594, 154.2033776972878)
(166.55480263027604, 154.44884366396192)
(165.5326651927686, 154.6765055466493)
(164.50671018403676, 154.88629399733512)
(163.47725011991488, 155.07814511242498)
(162.44459858391104, 155.25200045221078)
(161.4090701316867, 155.4078070586718)
(160.37098019523972, 155.54551747160642)
(159.330644986821, 155.66508974308877)
(158.28838140261297, 155.7664874502467)
(157.2445069262, 155.8496797063563)
(156.19933953185983, 155.91464117025052)
(155.15319758770556, 155.96135205403812)
(154.1063997587076, 155.98979812913134)
(153.05926490962517, 155.99997073058026)
(152.0121120078772, 155.99186675971185)
(150.9652600263815, 155.96548868507418)
(149.9190278463927, 155.9208445416843)
(148.87373416036797, 155.85794792858076)
(147.82969737489003, 155.77681800468122)
(146.78723551367753, 155.6774794829464)
(145.74666612071195, 155.55996262285237)
(144.70830616351066, 155.4243032211731)
(143.6724719365754, 155.2705426010765)
(142.63947896504604, 155.098727599537)
(141.60964190858851, 154.90891055306844)
(140.58327446554657, 154.70114928178197)
(139.56068927738593, 154.47550707177348)
(138.5421978334609, 154.23205265584596)
(137.52811037613168, 153.97086019257293)
(136.51873580626145, 153.6920092437089)
(135.51438158912222, 153.3955847499542)
(134.51535366073796, 153.0816770050811)
(133.5219563346934, 152.7503816284297)
(132.53449220943733, 152.40179953578092)
(131.55326207610813, 152.0360369086171)
(130.57856482690974, 151.65320516177763)
(129.6106973640664, 151.25342090952114)
(128.6499545093832, 150.83680593000375)
(127.69662891444065, 150.40348712818397)
(126.75101097145004, 149.95359649716656)
(125.81338872479716, 149.48727107799587)
(124.88404778330136, 149.004652917912)
(123.96327123321606, 148.50588902708174)
(123.05133955199827, 147.99113133381786)
(122.14853052287214, 147.4605366383003)
(121.2551191502136, 146.9142665648133)
(120.3713775757815, 146.35248751251308)
(119.49757499582036, 145.77537060474106)
(118.6339775790608, 145.18309163689798)
(117.78084838564175, 144.575831022895)
(116.93844728698005, 143.9537737401978)
(116.10703088661081, 143.3171092734807)
(115.28685244202376, 142.66603155690777)
(114.47816178751833, 142.0007389150586)
(113.68120525810181, 141.32143400251675)
(112.89622561445344, 140.62832374213914)
(112.12346196897687, 139.9216192620254)
(111.36314971296446, 139.20153583120614)
(110.61552044489471, 138.46829279407004)
(109.88080189988511, 137.72211350354928)
